"State","overallRank","higherEducationRank","prek12Rank","Pop"
"Massachusetts",1,27,1,6976597
"New Jersey",2,30,2,8936574
"Florida",3,1,27,21992985
"Washington",4,2,19,7797095
"New Hampshire",5,37,3,1371246
"Nebraska",6,7,9,1952570
"Virginia",7,14,8,8626207
"Vermont",8,41,4,628061
"Iowa",9,8,13,3179849
"Utah",10,6,22,3282115
"Colorado",11,9,14,5845526
"Connecticut",12,44,5,3563077
"Maryland",13,17,11,6083116
"Wisconsin",14,11,16,5851754
"Kansas",15,13,15,2910357
"Wyoming",16,3,34,567025
"Minnesota",17,20,12,5700671
"South Dakota",18,10,23,903027
"Illinois",19,31,7,12659682
"North Dakota",20,5,35,761723
"California",21,4,37,39937489
"New York",22,15,25,19440469
"Delaware",23,16,24,982895
"Indiana",24,39,6,6745354
"North Carolina",25,12,28,10611862
"Montana",26,19,20,1086759
"Missouri",27,26,21,6169270
"Maine",28,34,17,1345790
"Hawaii",29,21,30,1412687
"Georgia",30,25,31,10736059
"Ohio",31,38,18,11747694
"Pennsylvania",32,50,10,12820878
"Idaho",33,35,26,1826156
"Texas",34,32,33,29472295
"Tennessee",35,23,38,6897576
"Oregon",36,22,39,4301089
"Michigan",37,42,29,10045029
"Kentucky",38,43,32,4499692
"Oklahoma",39,28,43,3954821
"Arizona",40,24,44,7378494
"Rhode Island",41,48,36,1056161
"Arkansas",42,40,40,3038999
"South Carolina",43,46,41,5210095
"West Virginia",44,45,42,1778070
"Nevada",45,18,48,3139658
"Mississippi",46,33,45,2989260
"Alaska",47,36,47,734002
"Louisiana",48,49,46,4645184
"New Mexico",49,29,50,2096640
"Alabama",50,47,49,4908621